,timestamp,dap
8,1518685200,58.3
9,1518688800,59.68
10,1518692400,59.83
11,1518696000,59.68
12,1518699600,59.01
13,1518703200,59.94
14,1518706800,59.68
15,1518710400,59.94
16,1518714000,60.18
17,1518717600,60.53
18,1518721200,61.28
19,1518724800,63.7
20,1518728400,65.03
21,1518732000,64.63
22,1518735600,61.9
23,1518739200,61.87
0,1518742800,60.69
1,1518746400,60.0
2,1518750000,56.91
3,1518753600,52.8
4,1518757200,51.14
5,1518760800,54.87
6,1518764400,60.38
7,1518768000,61.4
8,1518771600,62.19
9,1518775200,62.28
10,1518778800,62.09
11,1518782400,61.39
12,1518786000,60.75
13,1518789600,60.69
14,1518793200,60.21
15,1518796800,60.08
16,1518800400,60.01
17,1518804000,60.05
18,1518807600,60.69
19,1518811200,62.55
20,1518814800,62.61
21,1518818400,62.59
22,1518822000,61.65
23,1518825600,54.34
0,1518829200,61.57
1,1518832800,60.69
2,1518836400,58.01
3,1518840000,51.13
4,1518843600,46.96
5,1518847200,44.34
6,1518850800,43.84
7,1518854400,44.43
8,1518858000,44.43
9,1518861600,50.0
10,1518865200,59.01
11,1518868800,50.26
12,1518872400,46.95
13,1518876000,46.96
14,1518879600,45.0
15,1518883200,44.14
16,1518886800,43.07
17,1518890400,44.99
18,1518894000,49.77
19,1518897600,57.01
20,1518901200,60.38
21,1518904800,60.05
22,1518908400,55.01
23,1518912000,60.45
0,1518915600,55.09
1,1518919200,47.42
2,1518922800,44.43
3,1518926400,43.31
4,1518930000,42.99
5,1518933600,43.14
6,1518937200,43.31
7,1518940800,44.09
8,1518944400,44.09
9,1518948000,47.42
10,1518951600,51.23
11,1518955200,55.01
12,1518958800,51.5
13,1518962400,56.01
14,1518966000,52.15
15,1518969600,47.42
16,1518973200,45.01
17,1518976800,47.42
18,1518980400,56.01
19,1518984000,61.11
20,1518987600,61.96
21,1518991200,62.19
22,1518994800,61.89
23,1518998400,51.4
0,1519002000,58.58
1,1519005600,49.06
2,1519009200,45.59
3,1519012800,45.4
4,1519016400,45.4
5,1519020000,45.59
6,1519023600,53.0
7,1519027200,59.89
8,1519030800,61.28
9,1519034400,61.63
10,1519038000,61.28
11,1519041600,60.84
12,1519045200,60.39
13,1519048800,60.69
14,1519052400,60.05
15,1519056000,59.08
16,1519059600,57.0
17,1519063200,59.92
18,1519066800,62.28
19,1519070400,62.04
20,1519074000,60.88
21,1519077600,60.38
22,1519081200,56.54
23,1519084800,44.22
0,1519088400,50.68
1,1519092000,46.95
2,1519095600,45.19
3,1519099200,43.14
4,1519102800,43.13
5,1519106400,42.41
6,1519110000,47.19
7,1519113600,60.05
8,1519117200,61.92
9,1519120800,61.85
10,1519124400,59.89
11,1519128000,56.1
12,1519131600,53.38
13,1519135200,51.67
14,1519138800,50.7
15,1519142400,49.87
16,1519146000,50.25
17,1519149600,53.51
18,1519153200,60.05
19,1519156800,59.62
20,1519160400,59.89
21,1519164000,57.65
22,1519167600,50.0
23,1519171200,47.92
0,1519174800,42.4
1,1519178400,41.79
2,1519182000,41.29
3,1519185600,41.29
4,1519189200,41.79
5,1519192800,41.79
6,1519196400,45.65
7,1519200000,59.13
8,1519203600,60.69
9,1519207200,60.49
10,1519210800,55.51
11,1519214400,49.71
12,1519218000,47.65
13,1519221600,46.06
14,1519225200,45.4
15,1519228800,45.19
16,1519232400,47.41
17,1519236000,55.43
18,1519239600,58.93
19,1519243200,60.36
20,1519246800,60.29
21,1519250400,60.03
22,1519254000,55.01
23,1519257600,56.01
0,1519261200,46.01
1,1519264800,43.69
2,1519268400,42.87
3,1519272000,42.8
4,1519275600,42.7
5,1519279200,42.85
6,1519282800,49.93
7,1519286400,59.19
8,1519290000,60.97
9,1519293600,60.07
10,1519297200,58.69
11,1519300800,58.69
12,1519304400,56.3
13,1519308000,53.9
14,1519311600,51.2
15,1519315200,57.65
16,1519318800,53.9
17,1519322400,56.34
18,1519326000,59.98
